Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Mike	13:18 2/3/2020	151
Tom	13:18 2/3/2020	149
Vinay	13:18 2/3/2020	121
TomH	13:19 2/3/2020	158
TomH	22:6 2/3/2020	139
Jim	22:6 2/3/2020	130
Lana	22:6 2/3/2020	141
Lana	0:10 2/5/2020	101
TomH	0:10 2/5/2020	139
Tom	0:10 2/5/2020	123
Jim	0:10 2/5/2020	129
Mike	0:10 2/5/2020	132
Mike	0:10 2/5/2020	144
Jim	0:10 2/5/2020	98
Tom	0:10 2/5/2020	110
Lana	0:10 2/5/2020	109
Vinay	0:10 2/5/2020	105
Lana	0:10 2/5/2020	109
Jim	0:10 2/5/2020	140
Mike	0:10 2/5/2020	88
TomH	0:10 2/5/2020	153
Vinay	0:10 2/5/2020	179
Tom	0:12 2/5/2020	140
Mike	0:12 2/5/2020	128
Mike	0:13 2/5/2020	98
TomH	0:13 2/5/2020	111
Lana	0:13 2/5/2020	150
TomH	0:13 2/5/2020	197
Mike	0:13 2/5/2020	120
Jim	0:13 2/5/2020	121
Vinay	0:13 2/5/2020	148
Tom	0:14 2/5/2020	120
TomH	0:14 2/5/2020	116
Vinay	0:14 2/5/2020	131
Mike	0:14 2/5/2020	134
Jim	0:14 2/5/2020	141
Vinay	0:14 2/5/2020	148
Lana	0:32 2/5/2020	124
Lana	0:39 2/5/2020	139
Jim	0:39 2/5/2020	141
Umesh	0:59 2/5/2020	107
Vinay	1:8 2/5/2020	126
Lana	18:20 2/5/2020	111
TomH	18:23 2/5/2020	106
Vinay	18:26 2/5/2020	105
Vinay	18:35 2/5/2020	123
Mike	18:44 2/5/2020	166
Tom	18:45 2/5/2020	177
Tom	18:47 2/5/2020	189
Vinay	18:49 2/5/2020	105
Jim	18:52 2/5/2020	101
Jim	18:54 2/5/2020	107
Jim	19:1 2/5/2020	96
Jim	19:2 2/5/2020	138
Jim	19:4 2/5/2020	109
Jim	19:7 2/5/2020	134
Tom	19:7 2/5/2020	201
Jim	19:8 2/5/2020	124
Jim	19:14 2/5/2020	124
Jim	19:17 2/5/2020	97
Jim	19:31 2/5/2020	107
Vinay	19:32 2/5/2020	193
Vinay	11:46 3/6/2020	152
Mike	11:46 3/6/2020	118
Mike	11:46 3/6/2020	132
Tom	11:46 3/6/2020	138
Tom	11:47 3/6/2020	161
Jim	11:47 3/6/2020	136
TomH	11:47 3/6/2020	140
Tom	11:47 3/6/2020	143
Tom	11:47 3/6/2020	129
Vinay	11:47 3/6/2020	109
Jim	11:48 3/6/2020	128
Lana	11:48 3/6/2020	101
Mike	11:48 3/6/2020	98
Vinay	11:48 3/6/2020	151
Mike	22:35 3/2/2020	147
