Mike	19:43 3/4/2020	137
Lana	19:43 3/4/2020	143
Vinay	19:43 3/4/2020	162
Jim	19:43 3/4/2020	122
Tom	19:43 3/4/2020	139
TomH	19:43 3/4/2020	98
Mike	19:43 3/4/2020	123
Jim	19:43 3/4/2020	105
Mike	19:43 3/4/2020	115
Lana	19:43 3/4/2020	114
Tom	19:43 3/4/2020	114
TomH	19:43 3/4/2020	114
Tom	19:43 3/4/2020	126
TomH	19:43 3/4/2020	100
Lana	19:43 3/4/2020	138
Vinay	19:43 3/4/2020	118
Jim	19:43 3/4/2020	129
Mike	19:46 3/4/2020	126
Jim	19:46 3/4/2020	125
Lana	19:46 3/4/2020	116
Tom	19:46 3/4/2020	129
TomH	19:46 3/4/2020	105
Vinay	19:46 3/4/2020	148
Mike	19:46 3/4/2020	117
Jim	19:47 3/4/2020	116
Tom	19:47 3/4/2020	143
Lana	19:47 3/4/2020	119
TomH	19:47 3/4/2020	105
Vinay	19:47 3/4/2020	104
Mike	19:47 3/4/2020	114
Tom	19:47 3/4/2020	137
Lana	19:47 3/4/2020	148
Jim	19:47 3/4/2020	112
TomH	19:47 3/4/2020	99
Vinay	19:47 3/4/2020	118
